StateAbbr,StateDesc,PlaceName,PlaceFIPS,TotalPopulation,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,OBESITY_CrudePrev,Longitude,Latitude
MA,Massachusetts,Amherst Center,2501360,19065,11.9,25.6,19.9,-72.51884558,42.375687
MA,Massachusetts,Fall River,2523000,88857,21.6,24.2,29.2,-71.10257763,41.72762402
MA,Massachusetts,Norton Center,2550005,2671,10.9,23.6,20,-71.1935275,41.97249091
MA,Massachusetts,New Bedford,2545000,95072,20.8,23.5,29.9,-70.94422708,41.67139107
MA,Massachusetts,North Amherst,2546295,6819,12.3,23.4,20.2,-72.522729,42.40735657
MA,Massachusetts,Taunton,2569170,55874,18.8,23.1,28.4,-71.09428766,41.90358398
MA,Massachusetts,Orange,2551230,4018,18.7,22.5,27.9,-72.30319806,42.59721331
MA,Massachusetts,Ocean Grove,2550880,2811,16.5,22.2,26.7,-71.20977777,41.7281835
MA,Massachusetts,North Adams,2546225,13708,18.3,22.2,25.8,-73.11660371,42.68440072
MA,Massachusetts,Chicopee,2513660,55298,17.7,22,30.8,-72.57185822,42.17638341
MA,Massachusetts,Acushnet Center,2500530,3073,16.6,22,25.8,-70.90642579,41.68507114
MA,Massachusetts,Ware,2572845,6170,17.3,22,25.8,-72.24599866,42.25489421
MA,Massachusetts,Palmer Town,2552144,12134,16.8,21.8,29.9,-72.31115356,42.18879525
MA,Massachusetts,Turners Falls,2570815,4470,17.5,21.7,27.5,-72.5559555,42.60033337
MA,Massachusetts,Spencer,2566070,5700,20,21.6,32,-71.99247555,42.24508821
MA,Massachusetts,Monson Center,2542180,2107,15.1,21.6,27.9,-72.30480889,42.09898407
MA,Massachusetts,North Westport,2549710,4575,15.1,21.6,25.5,-71.11240675,41.66262418
MA,Massachusetts,Huntington,2531750,936,16.2,21.6,24.8,-72.8822326,42.24078348
MA,Massachusetts,Westfield,2576030,41094,14.5,21.5,27.6,-72.7561042,42.13819242
MA,Massachusetts,Millers Falls,2541410,1139,16,21.5,26.5,-72.49254446,42.57922837
MA,Massachusetts,Forestdale,2524190,4099,15.9,21.4,27.5,-70.50817905,41.68455202
MA,Massachusetts,Springfield,2567000,153060,19.4,21.3,36,-72.53952002,42.11550322
MA,Massachusetts,Holyoke,2530840,39880,18.4,21.3,34.6,-72.64111991,42.21249898
MA,Massachusetts,Holland,2530630,1464,16,21.3,29.6,-72.15305537,42.05449685
MA,Massachusetts,Russell,2558615,786,15.1,21.3,28.6,-72.86417286,42.19648568
MA,Massachusetts,Greenfield Town,2527100,17456,16.2,21.3,27,-72.59855977,42.61402749
MA,Massachusetts,Attleboro,2502690,43593,15.6,21.3,26.3,-71.29489221,41.93111026
MA,Massachusetts,Smith Mills,2562300,4773,15.5,21.3,25.6,-70.99195049,41.64315866
MA,Massachusetts,Athol,2502515,8265,19,21.2,32,-72.23023409,42.59364209
MA,Massachusetts,West Springfield Town,2577890,28391,15.7,21,29.1,-72.65023823,42.1253234
MA,Massachusetts,Blandford,2506050,393,15.8,20.9,28.8,-72.92413358,42.17806727
MA,Massachusetts,White Island Shores,2579390,2106,19.5,20.9,27,-70.63895731,41.79328787
MA,Massachusetts,Somerset,2562465,18165,14,20.9,25,-71.17568756,41.7269559
MA,Massachusetts,Raynham Center,2556095,4100,13.2,20.9,24.7,-71.04308568,41.93271058
MA,Massachusetts,Webster,2573930,11412,18.7,20.8,31.7,-71.8747939,42.04464016
MA,Massachusetts,North Seekonk,2549200,2692,12.7,20.8,24.4,-71.32973314,41.8882459
MA,Massachusetts,Southbridge Town,2563345,16719,19.7,20.7,34.2,-72.03376693,42.06043374
MA,Massachusetts,Chester,2513450,627,15.2,20.7,28.9,-72.98095873,42.28276428
MA,Massachusetts,Bliss Corner,2506170,5295,14.7,20.7,25,-70.94213213,41.60546589
MA,Massachusetts,Haverhill,2529405,60879,15.6,20.6,28.1,-71.0905,42.77452585
MA,Massachusetts,Northampton,2546330,28549,11.1,20.6,22.2,-72.67453407,42.32663481
