GEO_ID,NAME,S1901_C02_012E,field_259
Geography,Geographic Area Name,Estimate!!Families!!Median income (dollars),
1400000US25001010100,"Census Tract 101, Barnstable County, Massachusetts","96979",
1400000US25001010206,"Census Tract 102.06, Barnstable County, Massachusetts","123646",
1400000US25001010208,"Census Tract 102.08, Barnstable County, Massachusetts","118750",
1400000US25001010304,"Census Tract 103.04, Barnstable County, Massachusetts","108077",
1400000US25001010306,"Census Tract 103.06, Barnstable County, Massachusetts","82969",
1400000US25001010400,"Census Tract 104, Barnstable County, Massachusetts","114760",
1400000US25001010500,"Census Tract 105, Barnstable County, Massachusetts","116295",
1400000US25001010600,"Census Tract 106, Barnstable County, Massachusetts","95617",
1400000US25001010700,"Census Tract 107, Barnstable County, Massachusetts","140100",
1400000US25001010800,"Census Tract 108, Barnstable County, Massachusetts","128618",
1400000US25001010900,"Census Tract 109, Barnstable County, Massachusetts","105364",
1400000US25001011002,"Census Tract 110.02, Barnstable County, Massachusetts","87273",
1400000US25001011100,"Census Tract 111, Barnstable County, Massachusetts","111706",
1400000US25001011200,"Census Tract 112, Barnstable County, Massachusetts","107250",
1400000US25001011300,"Census Tract 113, Barnstable County, Massachusetts","104167",
1400000US25001011400,"Census Tract 114, Barnstable County, Massachusetts","137941",
1400000US25001011500,"Census Tract 115, Barnstable County, Massachusetts","90300",
1400000US25001011600,"Census Tract 116, Barnstable County, Massachusetts","68563",
1400000US25001011700,"Census Tract 117, Barnstable County, Massachusetts","111429",
1400000US25001011801,"Census Tract 118.01, Barnstable County, Massachusetts","121900",
1400000US25001011802,"Census Tract 118.02, Barnstable County, Massachusetts","111875",
1400000US25001012001,"Census Tract 120.01, Barnstable County, Massachusetts","103009",
1400000US25001012002,"Census Tract 120.02, Barnstable County, Massachusetts","75125",
1400000US25001012101,"Census Tract 121.01, Barnstable County, Massachusetts","76799",
1400000US25001012102,"Census Tract 121.02, Barnstable County, Massachusetts","74236",
1400000US25001012200,"Census Tract 122, Barnstable County, Massachusetts","130000",
1400000US25001012502,"Census Tract 125.02, Barnstable County, Massachusetts","70288",
1400000US25001012601,"Census Tract 126.01, Barnstable County, Massachusetts","89200",
1400000US25001012602,"Census Tract 126.02, Barnstable County, Massachusetts","90473",
1400000US25001012700,"Census Tract 127, Barnstable County, Massachusetts","96488",
1400000US25001012800,"Census Tract 128, Barnstable County, Massachusetts","111125",
1400000US25001012900,"Census Tract 129, Barnstable County, Massachusetts","125357",
1400000US25001013002,"Census Tract 130.02, Barnstable County, Massachusetts","114583",
1400000US25001013100,"Census Tract 131, Barnstable County, Massachusetts","122813",
1400000US25001013200,"Census Tract 132, Barnstable County, Massachusetts","128456",
1400000US25001013300,"Census Tract 133, Barnstable County, Massachusetts","104216",
1400000US25001013400,"Census Tract 134, Barnstable County, Massachusetts","133438",
1400000US25001013500,"Census Tract 135, Barnstable County, Massachusetts","150658",
1400000US25001013600,"Census Tract 136, Barnstable County, Massachusetts","136161",
1400000US25001013700,"Census Tract 137, Barnstable County, Massachusetts","89821",
1400000US25001013800,"Census Tract 138, Barnstable County, Massachusetts","108015",
1400000US25001013900,"Census Tract 139, Barnstable County, Massachusetts","113659",
1400000US25001014002,"Census Tract 140.02, Barnstable County, Massachusetts","114199",
1400000US25001014100,"Census Tract 141, Barnstable County, Massachusetts","42328",
1400000US25001014300,"Census Tract 143, Barnstable County, Massachusetts","152500",
1400000US25001014402,"Census Tract 144.02, Barnstable County, Massachusetts","113333",
1400000US25001014500,"Census Tract 145, Barnstable County, Massachusetts","90030",
1400000US25001014600,"Census Tract 146, Barnstable County, Massachusetts","95250",
1400000US25001014700,"Census Tract 147, Barnstable County, Massachusetts","77639",
1400000US25001014800,"Census Tract 148, Barnstable County, Massachusetts","104313",
1400000US25001014900,"Census Tract 149, Barnstable County, Massachusetts","122358",
1400000US25001015001,"Census Tract 150.01, Barnstable County, Massachusetts","100905",
1400000US25001015002,"Census Tract 150.02, Barnstable County, Massachusetts","68510",
1400000US25001015100,"Census Tract 151, Barnstable County, Massachusetts","135625",
1400000US25001015200,"Census Tract 152, Barnstable County, Massachusetts","159063",
1400000US25001015300,"Census Tract 153, Barnstable County, Massachusetts","57757",
1400000US25001990000,"Census Tract 9900, Barnstable County, Massachusetts","-",
1400000US25003900100,"Census Tract 9001, Berkshire County, Massachusetts","40395",
1400000US25003900200,"Census Tract 9002, Berkshire County, Massachusetts","41568",
1400000US25003900300,"Census Tract 9003, Berkshire County, Massachusetts","66908",
1400000US25003900400,"Census Tract 9004, Berkshire County, Massachusetts","68250",
1400000US25003900500,"Census Tract 9005, Berkshire County, Massachusetts","111652",
1400000US25003900600,"Census Tract 9006, Berkshire County, Massachusetts","41528",
1400000US25003900700,"Census Tract 9007, Berkshire County, Massachusetts","89952",
1400000US25003900800,"Census Tract 9008, Berkshire County, Massachusetts","111964",
1400000US25003900900,"Census Tract 9009, Berkshire County, Massachusetts","71469",
1400000US25003901100,"Census Tract 9011, Berkshire County, Massachusetts","78750",
1400000US25003911100,"Census Tract 9111, Berkshire County, Massachusetts","84531",
1400000US25003912100,"Census Tract 9121, Berkshire County, Massachusetts","96184",
1400000US25003913100,"Census Tract 9131, Berkshire County, Massachusetts","97969",
