"Label (Grouping)","Barnstable County, Massachusetts!!Households!!Estimate","Berkshire County, Massachusetts!!Households!!Estimate","Bristol County, Massachusetts!!Households!!Estimate","Essex County, Massachusetts!!Households!!Estimate","Franklin County, Massachusetts!!Households!!Estimate","Hampden County, Massachusetts!!Households!!Estimate","Hampshire County, Massachusetts!!Households!!Estimate","Middlesex County, Massachusetts!!Households!!Estimate","Norfolk County, Massachusetts!!Households!!Estimate","Plymouth County, Massachusetts!!Households!!Estimate","Suffolk County, Massachusetts!!Households!!Estimate","Worcester County, Massachusetts!!Households!!Estimate"
"Total","104,733","57,765","233,531","309,972","30,374","184,544","60,870","632,831","280,067","202,084","315,257","333,435"
"    Less than $10,000","4.5%","5.5%","5.3%","5.3%","5.3%","7.4%","4.9%","4.1%","4.6%","3.9%","9.4%","5.3%"
"    $10,000 to $14,999","2.7%","3.4%","4.9%","4.4%","2.9%","5.9%","4.0%","2.9%","2.4%","2.8%","6.0%","3.5%"
"    $15,000 to $24,999","7.2%","11.1%","8.6%","6.1%","9.4%","9.8%","7.9%","4.6%","5.1%","5.4%","6.8%","7.0%"
"    $25,000 to $34,999","5.8%","10.2%","7.6%","5.3%","8.1%","8.5%","5.9%","4.2%","4.7%","4.7%","5.8%","6.4%"
"    $35,000 to $49,999","8.6%","11.5%","10.0%","8.8%","8.8%","10.9%","8.3%","6.7%","6.2%","8.8%","7.4%","8.6%"
"    $50,000 to $74,999","16.8%","17.9%","14.3%","13.7%","19.6%","16.4%","18.0%","11.6%","10.3%","12.5%","13.4%","14.1%"
"    $75,000 to $99,999","12.9%","10.5%","11.9%","12.0%","15.8%","11.6%","11.3%","10.9%","11.0%","11.9%","10.1%","12.5%"
"    $100,000 to $149,999","16.8%","13.4%","18.1%","17.4%","16.0%","15.5%","18.4%","17.6%","17.5%","19.0%","16.7%","19.1%"
"    $150,000 to $199,999","11.1%","7.5%","10.0%","11.5%","8.9%","6.6%","8.7%","12.4%","12.8%","13.0%","8.7%","11.5%"
"    $200,000 or more","13.7%","9.1%","9.3%","15.4%","5.2%","7.5%","12.5%","25.1%","25.4%","18.1%","15.9%","12.2%"
"Median income (dollars)","83,537","60,749","73,102","87,433","69,771","61,747","77,495","112,764","115,357","100,082","78,155","84,952"
"Mean income (dollars)","114,563","95,278","95,663","117,722","84,427","82,941","104,163","153,942","161,092","133,128","115,212","107,594"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Household income in the past 12 months","38.5%","39.5%","43.0%","44.8%","36.3%","44.0%","33.8%","36.7%","42.2%","45.3%","42.6%","40.1%"
"    Family income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
